,,,,Resident population at the beginning of the year | persons
,Radviliškis d. mun.,Males,2016,2933
,,Females,2016,6131
,Šiauliai c. mun.,Males,2016,7035
,,Females,2016,15952
,Šiauliai d. mun.,Males,2016,3302
,,Females,2016,6248
,Tauragė county,Males,2016,7497
,,Females,2016,15693
,Jurbarkas d. mun.,Males,2016,2204
,,Females,2016,4678
,Pagėgiai mun.,Males,2016,551
,,Females,2016,1247
,Šilalė d. mun.,Males,2016,1721
,,Females,2016,3399
,Tauragė d. mun.,Males,2016,3021
,,Females,2016,6369
,Telšiai county,Males,2016,10119
,,Females,2016,20271
,Mažeikiai d. mun.,Males,2016,3499
,,Females,2016,7174
,Plungė d. mun.,Males,2016,2634
,,Females,2016,5115
,Rietavas mun.,Males,2016,582
,,Females,2016,1164
,Telšiai d. mun.,Males,2016,3404
,,Females,2016,6818
,Utena county,Males,2016,12116
,,Females,2016,24305
,Anykščiai d. mun.,Males,2016,2519
,,Females,2016,5032
,Ignalina d. mun.,Males,2016,1647
,,Females,2016,3344
,Molėtai d. mun.,Males,2016,1735
,,Females,2016,3408
,Utena d. mun.,Males,2016,3331
,,Females,2016,6746
,Visaginas mun.,Males,2016,1381
,,Females,2016,2657
,Zarasai d. mun.,Males,2016,1503
,,Females,2016,3118
,Vilnius county,Males,2016,50825
,,Females,2016,107810
,Elektrėnai mun.,Males,2016,1794
,,Females,2016,3470
,Šalčininkai d. mun.,Males,2016,2008
,,Females,2016,4354
,Širvintos d. mun.,Males,2016,1235
,,Females,2016,2645
,Švenčionys d. mun.,Males,2016,2109
,,Females,2016,4321
,Trakai d. mun.,Males,2016,2241
,,Females,2016,4688
,Ukmergė d. mun.,Males,2016,3151
,,Females,2016,6675
,Vilnius c. mun.,Males,2016,32494
,,Females,2016,70615
,Vilnius d. mun.,Males,2016,5793
,,Females,2016,11042
